"","mature_mirna_id","target_symbol"
"75013","hsa-miR-138-1-3p","ANKRD36BP1"
"75014","hsa-miR-138-1-3p","ANLN"
"75015","hsa-miR-138-1-3p","ANO4"
"75017","hsa-miR-138-1-3p","AP2B1"
"75019","hsa-miR-138-1-3p","ARF1"
"75021","hsa-miR-138-1-3p","ARIH2"
"75022","hsa-miR-138-1-3p","ARL6IP1"
"75026","hsa-miR-138-1-3p","AS3MT"
"75027","hsa-miR-138-1-3p","ASAH1"
"75028","hsa-miR-138-1-3p","ASB1"
"75029","hsa-miR-138-1-3p","ASB16"
"75032","hsa-miR-138-1-3p","ATF7"
"75034","hsa-miR-138-1-3p","ATP6V1A"
"75038","hsa-miR-138-1-3p","AXL"
"75040","hsa-miR-138-1-3p","BBS5"
"75045","hsa-miR-138-1-3p","BLM"
"75048","hsa-miR-138-1-3p","BRAF"
"75049","hsa-miR-138-1-3p","BRAP"
"75053","hsa-miR-138-1-3p","C11orf72"
"75066","hsa-miR-138-1-3p","C9orf64"
"75068","hsa-miR-138-1-3p","CADM2"
"75073","hsa-miR-138-1-3p","CBX2"
"75075","hsa-miR-138-1-3p","CCDC14"
"75077","hsa-miR-138-1-3p","CCDC174"
"75079","hsa-miR-138-1-3p","CCDC93"
"75080","hsa-miR-138-1-3p","CCNA2"
"75082","hsa-miR-138-1-3p","CCNT2"
"75083","hsa-miR-138-1-3p","CCPG1"
"75084","hsa-miR-138-1-3p","CCT2"
"75090","hsa-miR-138-1-3p","CDCA4"
"75091","hsa-miR-138-1-3p","CDK12"
"75093","hsa-miR-138-1-3p","CEMIP2"
"75099","hsa-miR-138-1-3p","CHD2"
"75102","hsa-miR-138-1-3p","CLIC4"
"75103","hsa-miR-138-1-3p","CLK1"
"75104","hsa-miR-138-1-3p","CLN8"
"75108","hsa-miR-138-1-3p","CNOT6"
"75114","hsa-miR-138-1-3p","CPA3"
"75116","hsa-miR-138-1-3p","CRKL"
